text,label
Falafel is deep-fried and served in pita bread across the Levant.,cuisine
Petra was carved into rose-red cliffs by the Nabataeans.,history
Kebabs are grilled on skewers and eaten with rice in Tehran.,cuisine
The Great Pyramid of Giza is the oldest of the Seven Wonders.,history
Hummus is a creamy dip made from chickpeas and tahini.,cuisine
Persepolis was the ceremonial capital of the Achaemenid Empire.,history
Baklava is a sweet pastry made of layers of filo filled with nuts.,cuisine
Palmyra was an ancient Semitic city in present-day Syria.,history
Shawarma is sliced from a vertical rotisserie and wrapped in bread.,cuisine
Jerash in Jordan preserves some of the finest Roman ruins.,history
Mansaf is the national dish of Jordan lamb on saffron rice.,cuisine
Göbekli Tepe in Turkey predates Stonehenge by six millennia.,history
Dolma are stuffed vegetables or vine leaves popular in the region.,cuisine
Luxor Temple is a large Ancient Egyptian temple complex.,history
Tagine is a slow-cooked savory stew from Morocco.,cuisine
Babylon was a key kingdom in ancient Mesopotamia.,history
